ROP(dBm),FCNN,DNN,BiLSTM,KAN-FCNN,Hybrid-KAN,ResKAN,ConvKAN,KAN-Attention,MultiScale-KAN,GatedKAN,VanillaKAN
0,0.0,6.104027895407482e-05,0.0,0.0,0.0,0.0,0.00021364097633926187,0.7192986471948177,0.0,0.0,0.0
-1,0.0,6.104027895407482e-05,0.0,0.0,0.0,0.0,0.00021364097633926187,0.7192223468461251,0.0,0.0,0.0
-2,0.0,8.393038356185288e-05,0.0,0.0,0.0,0.0,0.00021364097633926187,0.7192452369507328,0.0,0.0,0.0
-3,0.0,8.393038356185288e-05,0.0,0.0,0.0,0.0,0.00022890104607778058,0.7192376069158636,0.0,0.0,0.0
-4,0.0,9.156041843111223e-05,0.0,0.0,0.0,0.0,0.00022890104607778058,0.7192528669856021,0.0,0.0,0.0
-5,0.0,9.156041843111223e-05,0.0,0.0,0.0,0.0,0.00024416111581629927,0.7192910171599485,0.0,7.630034869259352e-06,0.0
-6,0.0,9.156041843111223e-05,0.0,0.0,0.0,0.0,0.0002517911506855586,0.7192528669856021,7.630034869259352e-06,7.630034869259352e-06,0.0
-7,0.0,9.919045330037158e-05,0.0,0.0,0.0,0.0,0.0002899413250318554,0.7192376069158636,7.630034869259352e-06,7.630034869259352e-06,0.0
-8,0.0,0.00013734062764666835,0.0,0.0,0.0,0.0,0.0003052013947703741,0.7192147168112558,7.630034869259352e-06,7.630034869259352e-06,7.630034869259352e-06
-9,0.0,0.00013734062764666835,0.0,0.0,7.630034869259352e-06,0.0,0.00042728195267852375,0.7192757570902099,7.630034869259352e-06,7.630034869259352e-06,7.630034869259352e-06
-10,2.2890104607778056e-05,0.0002746812552933367,7.630034869259352e-06,0.0,7.630034869259352e-06,0.0,0.0006256628592792669,0.7195046581362877,3.052013947703741e-05,2.2890104607778056e-05,1.5260069738518704e-05
-11,6.104027895407482e-05,0.0005341024408481547,3.052013947703741e-05,3.052013947703741e-05,8.393038356185288e-05,2.2890104607778056e-05,0.0010987250211733468,0.7194588779270721,6.867031382333417e-05,5.341024408481547e-05,2.2890104607778056e-05
-12,0.00029757135990111477,0.0011979154744737183,8.393038356185288e-05,0.0001449706625159277,0.00047306216189407985,0.00011445052303889029,0.0021821899726081747,0.7196191086593265,0.00033572153424741153,0.00018312083686222445,0.00013734062764666835
-13,0.0015412670435903891,0.0032580248891737437,0.000778263556664454,0.0010300547073500126,0.0019609189613996538,0.0006332928941485263,0.004654321270248205,0.7197640793218425,0.0013505161718589053,0.0009384942889189003,0.000648552963887045
-14,0.005852236744721923,0.008393038356185288,0.004280449561654497,0.003998138271491901,0.0067144306849482305,0.0028383729713644793,0.010903319828171614,0.7197564492869732,0.00495189263014932,0.003639526632636711,0.003204614645088928
-15,0.017564340269035028,0.02130305735497211,0.01461151677463166,0.012574297464539414,0.019220057835664307,0.010910949863040875,0.023752298548004366,0.719924310054097,0.01461151677463166,0.012910018998786825,0.01097199014199495
