ROP(dBm),ResFCNN,FCNN,DNN,BiLSTM,ResKAN,VanillaKAN
0,0.0,0.0,0.0006256628592792669,0.0,2.2890104607778056e-05,0.0
-1,0.0,0.0,0.0006332928941485263,0.0,2.2890104607778056e-05,0.0
-2,0.0,0.0,0.0006332928941485263,0.0,2.2890104607778056e-05,0.0
-3,0.0,0.0,0.0006561829987563043,0.0,2.2890104607778056e-05,0.0
-4,0.0,0.0,0.0006790731033640824,0.0,3.052013947703741e-05,0.0
-5,0.0,0.0,0.0007477434171874166,0.0,3.8150174346296764e-05,0.0
-6,0.0,0.0,0.000778263556664454,0.0,3.8150174346296764e-05,0.0
-7,0.0,0.0,0.0008545639053570475,0.0,5.341024408481547e-05,0.0
-8,0.0,0.0,0.0010453147770885312,0.0,5.341024408481547e-05,0.0
-9,0.0,7.630034869259352e-06,0.00129710592777409,7.630034869259352e-06,5.341024408481547e-05,2.2890104607778056e-05
-10,0.0,2.2890104607778056e-05,0.0017777981245374291,7.630034869259352e-06,9.919045330037158e-05,3.8150174346296764e-05
-11,3.8150174346296764e-05,0.00012208055790814963,0.002578951785809661,2.2890104607778056e-05,0.00021364097633926187,7.630034869259353e-05
-12,0.0003204614645088928,0.0005646225803251921,0.004333859805739312,0.0001602307322544464,0.0004959522665018579,0.0003509816039859302
-13,0.0016175673922829827,0.002266120356170028,0.008141247205499729,0.0011521352652581623,0.001625197427152242,0.0013047359626433494
-14,0.006340558976354522,0.006966221835633789,0.015481340749727226,0.005386804617697103,0.005692006012467477,0.00482981207224117
-15,0.018777515813247266,0.020311152821968395,0.030451469163214076,0.017518560059819475,0.01567209162145871,0.015473710714857966
