param_scale,model,combo,grid_size,spline_order,hidden_config,actual_params,best_epoch,train_loss,val_loss,val_ber,ber_0dB,ber_5dB,ber_10dB,ber_15dB,ber_20dB,ber_25dB,ber_infdB
500,KAN-FCNN,A,5,3,"hidden=[2, 2]",440,30,1.197915e-01,1.205522e-01,5.124408e-01,6.615698e-01,6.082282e-01,5.562524e-01,5.271133e-01,5.166449e-01,5.135548e-01,5.124408e-01
500,Hybrid-KAN,A,5,3,"linear=[14, 8]",500,30,1.410524e-03,1.418518e-03,1.602307e-04,6.367951e-01,5.051159e-01,3.027750e-01,1.055005e-01,1.587810e-02,1.464967e-03,1.602307e-04
500,ResKAN,A,5,3,"fcnn=[4, 2],kh=2",498,30,6.193354e-04,6.283827e-04,2.289010e-05,5.246030e-01,3.698049e-01,1.803969e-01,4.103433e-02,3.280915e-03,2.517912e-04,2.289010e-05
500,KAN-FCNN,B,8,3,"hidden=[2, 1]",546,8,5.543622e-01,5.571143e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01
500,Hybrid-KAN,B,8,3,"linear=[15, 6]",498,30,8.632595e-05,9.195046e-05,0.000000e+00,5.885122e-01,4.785329e-01,3.004174e-01,1.122760e-01,1.628249e-02,7.324833e-04,0.000000e+00
500,ResKAN,B,8,3,"fcnn=[10, 1],kh=1",498,30,2.744889e-03,2.754183e-03,0.000000e+00,5.810195e-01,4.553300e-01,2.756121e-01,9.127048e-02,8.652460e-03,1.526007e-04,0.000000e+00
500,KAN-FCNN,C,3,5,"hidden=[2, 2]",440,25,1.329893e-01,1.305488e-01,5.238400e-01,6.606008e-01,6.061452e-01,5.603574e-01,5.367730e-01,5.276017e-01,5.248243e-01,5.238400e-01
500,Hybrid-KAN,C,3,5,"linear=[14, 8]",500,30,3.326735e-03,3.316790e-03,7.630035e-06,5.843767e-01,4.680416e-01,2.908111e-01,1.061185e-01,1.455811e-02,6.561830e-04,7.630035e-06
500,ResKAN,C,3,5,"fcnn=[4, 2],kh=2",498,30,2.368764e-03,2.385086e-03,8.393038e-05,5.582439e-01,4.439536e-01,2.702711e-01,9.200296e-02,1.153661e-02,7.477434e-04,8.393038e-05
500,KAN-FCNN,D,10,2,"hidden=[2, 1]",591,10,5.543590e-01,5.571143e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01,7.518789e-01
