bandwidth_GHz,SNR,FCNN,DNN,BiLSTM,RKAN,KAN-FCNN,Hybrid-KAN,ResKAN
20,0 dB,0.594662028,0.58865719,0.604832864,0.570909729,0.560525252,0.572626487,0.536948444
20,5 dB,0.491557366,0.472192338,0.523145711,0.46597386,0.442816704,0.457725792,0.414028582
20,10 dB,0.335378183,0.306536651,0.38949802,0.331891257,0.286347579,0.294450676,0.253195077
20,15 dB,0.164862163,0.149174812,0.219409283,0.189301165,0.136295313,0.134960057,0.113641739
20,20 dB,0.05679035,0.06133785,0.085654771,0.093605268,0.05460053,0.045040096,0.044795935
20,25 dB,0.018182373,0.031092392,0.03071089,0.054241918,0.025217265,0.01529059,0.021097046
20,No,0.019097977,0.008064947,0.03495319,0.011933375,0.004623801,0.009827485,0.004265189
22.5,0 dB,0.590427358,0.584445411,0.598255774,0.569704184,0.554932436,0.567689854,0.530264533
22.5,5 dB,0.481737512,0.463761149,0.512234761,0.452277947,0.429311542,0.446563051,0.396555802
22.5,10 dB,0.314586338,0.285416714,0.370422933,0.303156545,0.256727783,0.271575831,0.218272408
22.5,15 dB,0.129695333,0.108865338,0.184402683,0.143688817,0.090248052,0.098618201,0.067968351
22.5,20 dB,0.023309757,0.022218662,0.044071081,0.045078246,0.014817528,0.015908623,0.010010606
22.5,25 dB,0.001587047,0.003738717,0.004150739,0.013283891,0.001442077,0.001403926,0.001159765
22.5,No,0.000602773,0,0.003494556,2.29E-05,2.29E-05,3.05E-05,0.00E+00
25,0 dB,0.586780202,0.581462067,0.592792669,0.572580707,0.550781697,0.563752756,0.525488131
25,5 dB,0.475259612,0.458633766,0.504368195,0.442320751,0.420590412,0.439703649,0.384927629
25,10 dB,0.305003014,0.275848651,0.3589321,0.285607465,0.241193032,0.259611936,0.198831079
25,15 dB,0.116579303,0.094955784,0.168928972,0.120478251,0.072492961,0.085128299,0.050182739
25,20 dB,0.015626311,0.012223316,0.03291597,0.027796217,0.006416859,0.009613844,0.003876058
25,25 dB,0.000480692,0.000648553,0.001449707,0.00440253,0.000129711,0.000381502,0.000160231
25,No,1.53E-05,0,0.000373872,0,0,7.63E-06,0
27.5,0 dB,0.583201715,0.579050976,0.588786901,0.575930292,0.548195115,0.561074614,0.522581088
27.5,5 dB,0.471711646,0.455673312,0.497958966,0.436903427,0.414959446,0.434461815,0.378823601
27.5,10 dB,0.300760714,0.27362831,0.351317326,0.276512464,0.235852008,0.254797384,0.192315029
27.5,15 dB,0.117670398,0.095573817,0.167441115,0.114847285,0.072073309,0.085196969,0.047130725
27.5,20 dB,0.018365494,0.014092674,0.037646592,0.026491481,0.007607145,0.011475572,0.003639527
27.5,25 dB,0.000961384,0.001068205,0.002838373,0.005226574,0.000396762,0.000755373,0.000228901
27.5,No,2.29E-05,7.63E-06,0.001007165,1.53E-05,7.63E-06,7.63E-06,0.00E+00
30,0 dB,0.581080566,0.577303698,0.5842394,0.580844034,0.547958584,0.559220516,0.520223407
30,5 dB,0.468888533,0.453407192,0.492839212,0.434904358,0.412769626,0.43113512,0.375145924
30,10 dB,0.301264297,0.276207262,0.348494213,0.273758021,0.237347495,0.255743509,0.191735146
30,15 dB,0.125788755,0.105828584,0.173362022,0.118524962,0.081130161,0.093231396,0.052723541
30,20 dB,0.028276909,0.022897735,0.050556611,0.033236432,0.015557641,0.018731736,0.00662287
30,25 dB,0.003883688,0.003761607,0.009438353,0.010407368,0.002746813,0.002731552,0.000618033
30,No,0.000518842,0.000236531,0.003944728,0.000457802,0.000213641,3.05E-05,2.29E-05
